Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	End Date	End Clock Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Species	Signal Type	annotator
47	CESCAB_20240806_044022.flac	CESCAB_20240806_045522.flac	27834.514300108	27877.824500084	2024/8/6  4:40:46.5143	2024/8/6	4:55:29.8245	43.3102	3611.111	32777.778	13125	Physeter macrocephalus	clicks	MC
48	CESCAB_20240806_051752.flac	CESCAB_20240806_054022.flac	27975.761300087	28062.82159996	2024/8/6  5:18:07.7613	2024/8/6	5:40:34.8216	87.0603	1944.444	35000	2343.75	Physeter macrocephalus	clicks	MC
49	CESCAB_20240806_060252.flac	CESCAB_20240806_061752.flac	28158.587800026	28202.375499964	2024/8/6  6:03:10.5878	2024/8/6	6:17:54.3755	43.7877	0	30833.333	937.5	Physeter macrocephalus	clicks	MC
50	CESCAB_20240806_062522.flac	CESCAB_20240806_063252.flac	28239.514300108	28283.191800117	2024/8/6  6:25:31.5143	2024/8/6	6:33:15.1918	43.6775	0	27500	0	Physeter macrocephalus	clicks	MC
51	CESCAB_20240806_065522.flac	CESCAB_20240806_070252.flac	28364.338799954	28401.293900013	2024/8/6  6:55:36.3388	2024/8/6	7:03:13.2939	36.9551	4444.444	23611.111	5156.25	Physeter macrocephalus	clicks	MC
52	CESCAB_20240806_070252.flac	CESCAB_20240806_071022.flac	28401.440799952	28436.448999882	2024/8/6  7:03:13.4408	2024/8/6	7:10:48.4490	35.0082	2500	19722.222	6562.5	Physeter macrocephalus	clicks	MC
53	CESCAB_20240806_070252.flac	CESCAB_20240806_071022.flac	28406.914299965	28410.367300034	2024/8/6  7:03:18.9143	2024/8/6	7:10:22.3673	3.453	3888.889	10277.778	9843.75	Delphinidae	whistles	MC
54	CESCAB_20240806_071022.flac	CESCAB_20240806_071022.flac	28425.612200022	28426.861200094	2024/8/6  7:10:37.6122	2024/8/6	7:10:38.8612	1.249	4444.444	10277.778	7500	Delphinidae	whistles	MC
55	CESCAB_20240806_091022.flac	CESCAB_20240806_091022.flac	28892.844500065	28919.703000069	2024/8/6  9:10:24.8445	2024/8/6	9:10:51.7030	26.8585	2777.778	32777.778	14531.25	Delphinidae	whistles	MC
56	CESCAB_20240806_123252.flac	CESCAB_20240806_125522.flac	29725.506099939	29803.934700012	2024/8/6  12:33:17.5061	2024/8/6	12:55:35.9347	78.4286	0	17777.778	468.75	Physeter macrocephalus	clicks	MC
57	CESCAB_20240806_130252.flac	CESCAB_20240806_130252.flac	29826.416300058	29839.787800074	2024/8/6  13:02:58.4163	2024/8/6	13:03:11.7878	13.3715	8055.556	21388.889	16406.25	Delphinidae	whistles	MC
58	CESCAB_20240806_150252.flac	CESCAB_20240806_150252.flac	30305.66140008	30324.653199911	2024/8/6  15:02:57.6614	2024/8/6	15:03:16.6532	18.9918	3432.203	16207.627	4218.75	Delphinidae	whistles	MC
59	CESCAB_20240806_151022.flac	CESCAB_20240806_151022.flac	30349.151000023	30359.987799883	2024/8/6  15:10:41.1510	2024/8/6	15:10:51.9878	10.8368	5529.661	13347.458	6093.75	Delphinidae	whistles	MC
60	CESCAB_20240806_155522.flac	CESCAB_20240806_155522.flac	30534.931900024	30536.952300072	2024/8/6  15:55:46.9319	2024/8/6	15:55:48.9523	2.0204	7055.085	15444.915	8437.5	Delphinidae	whistles	MC
61	CESCAB_20240806_161022.flac	CESCAB_20240806_161022.flac	30570.172899962	30579.981100082	2024/8/6  16:10:22.1729	2024/8/6	16:10:31.9811	9.8082	6673.729	15063.559	7031.25	Delphinidae	whistles	MC
62	CESCAB_20240806_181752.flac	CESCAB_20240806_185522.flac	31080.297399998	31256.571399927	2024/8/6  18:17:52.2974	2024/8/6	18:55:48.5714	176.274	17542.373	42902.542	32343.75	Delphinidae	clicks	MC
63	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35910.673500061	35939.473500013	2024/8/7  14:25:22.6735	2024/8/7	14:25:51.4735	28.8	2860.169	22690.678	3281.25	Delphinidae	whistles	MC
64	CESCAB_20240807_142522.flac	CESCAB_20240807_142522.flac	35910.673500061	35939.473500013	2024/8/7  14:25:22.6735	2024/8/7	14:25:51.4735	28.8	2860.169	22690.678	3281.25	Delphinidae	clicks	MC
65	CESCAB_20240807_143252.flac	CESCAB_20240807_144752.flac	35969.926500082	36029.840800047	2024/8/7  14:33:21.9265	2024/8/7	14:48:21.8408	59.9143	1906.78	17733.051	12187.5	Delphinidae	whistles	MC
66	CESCAB_20240807_151752.flac	CESCAB_20240807_153252.flac	36121.383699894	36196.395900011	2024/8/7  15:17:53.3837	2024/8/7	15:33:08.3959	75.0122	8389.831	17733.051	15468.75	Physeter macrocephalus	clicks	MC
67	CESCAB_20240807_153252.flac	CESCAB_20240807_155522.flac	36197.461199999	36299.1796	2024/8/7  15:33:09.4612	2024/8/7	15:55:51.1796	101.7184	2288.136	18305.085	12187.5	Physeter macrocephalus	clicks	MC
68	CESCAB_20240807_161022.flac	CESCAB_20240807_161752.flac	36330.697999954	36364.714299917	2024/8/7  16:10:22.6980	2024/8/7	16:17:56.7143	34.0163	3432.203	27457.627	10781.25	Physeter macrocephalus	clicks	MC
69	CESCAB_20240807_161752.flac	CESCAB_20240807_163252.flac	36365.706099987	36445.273499966	2024/8/7  16:17:57.7061	2024/8/7	16:33:17.2735	79.5674	4766.949	28029.661	12187.5	Physeter macrocephalus	clicks	MC
70	CESCAB_20240807_163252.flac	CESCAB_20240807_165522.flac	36446.191800117	36526.053100109	2024/8/7  16:33:18.1918	2024/8/7	16:55:38.0531	79.8613	3432.203	27838.983	19687.5	Physeter macrocephalus	clicks	MC
71	CESCAB_20240807_165522.flac	CESCAB_20240807_171752.flac	36527.04489994	36607.714299917	2024/8/7  16:55:39.0449	2024/8/7	17:17:59.7143	80.6694	2097.458	27648.305	6562.5	Physeter macrocephalus	clicks	MC
72	CESCAB_20240807_171752.flac	CESCAB_20240807_173252.flac	36608.632699966	36688.714299917	2024/8/7  17:18:00.6327	2024/8/7	17:33:20.7143	80.0816	1906.78	26694.915	5156.25	Physeter macrocephalus	clicks	MC
73	CESCAB_20240807_173252.flac	CESCAB_20240807_181022.flac	36689.559200048	36838.371400118	2024/8/7  17:33:21.5592	2024/8/7	18:10:50.3714	148.8122	1525.424	25741.525	1875	Physeter macrocephalus	clicks	MC
74	CESCAB_20240807_184022.flac	CESCAB_20240807_184752.flac	36949.457099915	36982.738800049	2024/8/7  18:40:41.4571	2024/8/7	18:48:14.7388	33.2817	4957.627	19830.508	5156.25	Physeter macrocephalus	clicks	MC
75	CESCAB_20240807_192522.flac	CESCAB_20240807_193252.flac	37110.648999929	37168.395900011	2024/8/7  19:25:22.6490	2024/8/7	19:33:20.3959	57.7469	1906.78	19449.153	2343.75	Physeter macrocephalus	clicks	MC
76	CESCAB_20240807_211752_surface.flac	CESCAB_20240807_220252.flac	37563.183700085	37740.906100035	2024/8/7  21:17:55.1837	2024/8/7	22:02:52.9061	177.7224	5911.017	18495.763	6093.75	Physeter macrocephalus	clicks	MC
77	CESCAB_20240807_220252.flac	CESCAB_20240807_221752.flac	37741.898000002	37820.804100037	2024/8/7  22:02:53.8980	2024/8/7	22:18:12.8041	78.9061	1525.424	18305.085	3281.25	Physeter macrocephalus	clicks	MC
78	CESCAB_20240807_223252.flac	CESCAB_20240807_225522.flac	37864.738800049	37952.020400047	2024/8/7  22:32:56.7388	2024/8/7	22:55:24.0204	87.2816	6312.217	18936.652	9375	Physeter macrocephalus	clicks	MC
79	CESCAB_20240807_234752.flac	CESCAB_20240807_234752.flac	38161.114300013	38189.326499939	2024/8/7  23:47:53.1143	2024/8/7	23:48:21.3265	28.2122	2647.059	15067.873	5625	Physeter macrocephalus	clicks	MC
80	CESCAB_20240807_235522.flac	CESCAB_20240808_001022.flac	38190.024499893	38275.322400093	2024/8/7  23:55:22.0245	2024/8/8	0:10:47.3224	85.2979	18325.792	43778.281	21093.75	Delphinidae	clicks	MC
81	CESCAB_20240808_000252.flac	CESCAB_20240808_000252.flac	38235.13470006	38240.130599976	2024/8/8  0:03:07.1347	2024/8/8	0:03:12.1306	4.9959	6515.837	14864.253	6562.5	Delphinidae	whistles	MC
