Selection	Begin File	End File	Begin Time (s)	End Time (s)	Begin Date Time	Delta Time (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	End Date	End Clock Time	Species	Signal Type	annotator
71	CESCAB_20240805_075522.flac	CESCAB_20240805_075522.flac	22850.876021326	22858.995229301	2024-08-05 07:55:42	8.1192	1885.618	21998.878	2343.75	2024-08-05	07:55:50	Delphinidae	whistles	GJ
72	CESCAB_20240805_082522.flac	CESCAB_20240805_082522.flac	22975.995835558	22978.775953463	2024-08-05 08:25:47	2.7801	3360.507	21843.299	3750	2024-08-05	08:25:50	Delphinidae	whistles	GJ
73	CESCAB_20240805_085522.flac	CESCAB_20240805_085522.flac	23070.223599945	23080.45087253	2024-08-05 08:55:22	10.2273	0	19149.662	0	2024-08-05	08:55:32	Physeter macrocephalus	clicks	GJ
74	CESCAB_20240805_094022.flac	CESCAB_20240805_094022.flac	23250.403007255	23254.743645605	2024-08-05 09:40:22	4.3406	5743.073	26283.42	24843.75	2024-08-05	09:40:26	Delphinidae	whistles	GJ
75	CESCAB_20240805_094022.flac	CESCAB_20240805_094022.flac	23258.305791113	23259.581783534	2024-08-05 09:40:30	1.276	4231.738	23274.559	22968.75	2024-08-05	09:40:31	Delphinidae	whistles	GJ
76	CESCAB_20240805_094022.flac	CESCAB_20240805_094022.flac	23265.540462968	23267.416446755	2024-08-05 09:40:37	1.876	4534.005	17833.753	17343.75	2024-08-05	09:40:39	Delphinidae	whistles	GJ
77	CESCAB_20240805_100252.flac	CESCAB_20240805_100252.flac	23358.587674597	23369.046776092	2024-08-05 10:03:10	10.4591	17423.653	113934.291	22500	2024-08-05	10:03:21	Delphinidae	clicks	GJ
78	CESCAB_20240805_171752.flac	CESCAB_20240805_171752.flac	25084.92496981	25100.758062393	2024-08-05 17:17:56	15.8331	12607.004	116264.591	31875	2024-08-05	17:18:12	Delphinidae	clicks	GJ
79	CESCAB_20240805_235522.flac	CESCAB_20240806_000252.flac	26670.214491162	26729.907927842	2024-08-05 23:55:22	59.6934	14508.816	113047.859	32812.5	2024-08-06	00:03:21	Grampus griseus	clicks	GJ
80	CESCAB_20240806_004752.flac	CESCAB_20240806_005522.flac	26880.165818036	26939.332485365	2024-08-06 00:47:52	59.1667	831.409	22879.377	937.5	2024-08-06	00:55:51	Physeter macrocephalus	clicks	GJ
81	CESCAB_20240806_024752.flac	CESCAB_20240806_025522.flac	27373.395826737	27394.297416861	2024-08-06 02:48:05	20.9016	0	24280.156	0	2024-08-06	02:55:26	Physeter macrocephalus	clicks	GJ
82	CESCAB_20240806_030252.flac	CESCAB_20240806_031022.flac	27420.229836217	27479.628306537	2024-08-06 03:02:52	59.3985	0	38287.938	0	2024-08-06	03:10:51	Physeter macrocephalus	clicks	GJ
83	CESCAB_20240806_041752.flac	CESCAB_20240806_050252.flac	27724.787564367	27928.601337297	2024-08-06 04:17:56	203.8138	0	35953.307	13125	2024-08-06	05:03:20	Physeter macrocephalus	clicks	GJ
84	CESCAB_20240806_044022.flac	CESCAB_20240806_045522.flac	27812.198666783	27897.869617392	2024-08-06 04:40:24	85.671	22412.451	109727.626	22500	2024-08-06	04:55:49	Delphinidae	clicks	GJ
85	CESCAB_20240806_051752.flac	CESCAB_20240806_054022.flac	27960.411152697	28079.882456312	2024-08-06 05:17:52	119.4713	302.267	64080.605	1406.25	2024-08-06	05:40:51	Physeter macrocephalus	clicks	GJ
86	CESCAB_20240806_060252.flac	CESCAB_20240806_062522.flac	28140.243877169	28259.283471134	2024-08-06 06:02:52	119.0396	0	31133.501	937.5	2024-08-06	06:25:51	Physeter macrocephalus	clicks	GJ
